          model ,   Bleu_1 ,   Bleu_2 ,   Bleu_3 ,   Bleu_4 ,   METEOR ,  ROUGE_L ,    CIDEr
     model-1200 ,    0.712 ,    0.465 ,    0.302 ,    0.044 ,    0.160 ,    0.522 ,    0.034
     model-3236 ,    0.636 ,    0.456 ,    0.313 ,    0.161 ,    0.175 ,    0.508 ,    0.074
     model-5272 ,    0.639 ,    0.497 ,    0.360 ,    0.226 ,    0.194 ,    0.527 ,    0.165
     model-7308 ,    0.699 ,    0.544 ,    0.403 ,    0.273 ,    0.209 ,    0.544 ,    0.201
     model-9344 ,    0.735 ,    0.579 ,    0.443 ,    0.321 ,    0.234 ,    0.564 ,    0.268
    model-11380 ,    0.750 ,    0.591 ,    0.447 ,    0.324 ,    0.240 ,    0.569 ,    0.300
    model-13416 ,    0.759 ,    0.603 ,    0.461 ,    0.341 ,    0.247 ,    0.580 ,    0.326
    model-15452 ,    0.758 ,    0.605 ,    0.464 ,    0.342 ,    0.247 ,    0.581 ,    0.333
    model-17488 ,    0.756 ,    0.608 ,    0.472 ,    0.352 ,    0.250 ,    0.584 ,    0.345
    model-19524 ,    0.757 ,    0.607 ,    0.470 ,    0.351 ,    0.252 ,    0.584 ,    0.356
    model-21560 ,    0.754 ,    0.602 ,    0.467 ,    0.349 ,    0.250 ,    0.583 ,    0.365
    model-23596 ,    0.756 ,    0.604 ,    0.469 ,    0.351 ,    0.250 ,    0.581 ,    0.366
    model-25632 ,    0.765 ,    0.612 ,    0.473 ,    0.355 ,    0.254 ,    0.587 ,    0.377
    model-27668 ,    0.769 ,    0.617 ,    0.478 ,    0.357 ,    0.257 ,    0.588 ,    0.390
    model-29704 ,    0.764 ,    0.617 ,    0.481 ,    0.361 ,    0.255 ,    0.587 ,    0.397
    model-31740 ,    0.772 ,    0.624 ,    0.485 ,    0.364 ,    0.259 ,    0.590 ,    0.404
    model-33776 ,    0.769 ,    0.622 ,    0.483 ,    0.361 ,    0.257 ,    0.587 ,    0.399
    model-35812 ,    0.768 ,    0.620 ,    0.482 ,    0.361 ,    0.258 ,    0.586 ,    0.405
    model-37848 ,    0.769 ,    0.619 ,    0.478 ,    0.355 ,    0.259 ,    0.584 ,    0.401
